Ridge Points Analysis
Location: 32.960936°N, -107.326779°W
Direction: 45.0°
Generated: 30 points
============================================================

Index,Distance(km),Elevation(m),Bearing(°),ViewAngle(°),Latitude,Longitude
1,12.24,1728,67.0,1.72,33.003903,-107.205963
2,20.27,1540,73.9,0.51,33.011229,-107.117902
3,46.98,1613,28.2,0.31,33.333115,-107.087955
4,47.76,1576,64.0,0.26,33.148147,-106.865537
5,46.28,1569,30.5,0.26,33.319338,-107.074142
6,45.96,1556,31.3,0.24,33.313912,-107.069912
7,27.17,1469,62.6,0.23,33.073057,-107.067834
8,34.36,1496,39.6,0.23,33.198781,-107.091415
9,40.49,1510,36.8,0.21,33.252126,-107.065845
10,42.70,1508,54.6,0.20,33.182934,-106.952818
11,48.89,1524,29.6,0.19,33.342961,-107.066850
12,42.83,1491,49.6,0.18,33.210028,-106.976096
13,35.74,1467,60.9,0.17,33.116872,-106.991511
14,35.81,1462,50.7,0.16,33.164569,-107.029049
15,30.20,1442,66.2,0.16,33.070060,-107.030153
16,39.79,1457,43.9,0.14,33.218465,-107.030200
17,37.98,1438,72.6,0.12,33.062312,-106.937782
18,32.05,1425,69.7,0.12,33.060476,-107.004155
19,24.03,1406,30.4,0.11,33.147224,-107.196089
20,49.35,1449,21.2,0.10,33.374486,-107.134331
21,43.30,1352,19.8,-0.01,33.327268,-107.169188
22,41.72,1352,20.7,-0.01,33.311900,-107.168434
23,35.79,1353,26.9,-0.01,33.247741,-107.152426
24,40.02,1352,18.7,-0.01,33.301732,-107.188514
25,36.70,1352,24.2,-0.01,33.261811,-107.164810
26,28.42,1352,26.3,-0.02,33.189938,-107.191259
27,21.74,1323,24.3,-0.10,33.139113,-107.230703
28,9.18,1343,45.0,-0.11,33.019374,-107.257179
29,15.16,1284,15.1,-0.29,33.092579,-107.284404
30,3.90,1279,64.0,-1.19,32.976281,-107.289230
