Ridge Points Analysis
Location: 35.240222°N, -106.635889°W
Direction: 90°
Generated: 33 points
============================================================

Index,Distance(km),Elevation(m),Bearing(°),ViewAngle(°),Latitude,Longitude
1,20.91,2691,96.0,3.64,35.220483,-106.406940
2,22.62,2666,111.5,3.30,35.165369,-106.404418
3,21.64,2554,116.7,3.16,35.152671,-106.423216
4,20.89,2346,89.0,2.70,35.243346,-106.405860
5,16.97,1900,71.9,1.82,35.287519,-106.458130
6,25.07,2149,98.6,1.80,35.206199,-106.363056
7,23.08,2062,82.3,1.74,35.267886,-106.383948
8,37.99,2409,100.1,1.58,35.179786,-106.224292
9,11.66,1674,68.0,1.54,35.279361,-106.516765
10,25.25,2039,92.2,1.54,35.231069,-106.358108
11,7.92,1564,65.7,1.47,35.269472,-106.556302
12,31.28,2107,103.8,1.37,35.172608,-106.301658
13,39.26,2292,94.0,1.36,35.214731,-106.204780
14,33.10,2138,98.1,1.35,35.197877,-106.275233
15,37.57,2206,94.1,1.29,35.215416,-106.223428
16,21.94,1805,62.9,1.16,35.329821,-106.420483
17,41.29,2165,92.8,1.12,35.221115,-106.181944
18,40.65,2147,86.4,1.11,35.262438,-106.189075
19,27.51,1879,80.0,1.08,35.282736,-106.337419
20,40.80,2117,74.3,1.06,35.338840,-106.202893
21,42.29,2105,117.2,1.01,35.065505,-106.222731
22,39.27,2050,106.4,1.01,35.139613,-106.221656
23,34.28,1949,85.9,0.98,35.261535,-106.259238
24,36.12,1963,85.2,0.96,35.266868,-106.239406
25,46.33,2131,79.4,0.95,35.315509,-106.133931
26,41.87,2021,105.6,0.90,35.138293,-106.192309
27,37.76,1956,71.7,0.90,35.345938,-106.240510
28,31.14,1851,80.5,0.90,35.286039,-106.297486
29,46.47,2067,81.9,0.87,35.297759,-106.128888
30,38.59,1945,69.9,0.87,35.358965,-106.236360
31,46.25,2022,117.4,0.82,35.047659,-106.184967
32,39.15,1815,61.5,0.67,35.407626,-106.256263
33,41.91,1837,62.0,0.65,35.416484,-106.227493
